Country,TotalCases,NewCases,TotalRecovered,NewRecovered,ActiveCases,CriticalCases,TotalCases/1M pop,Tests/1M pop,Population,Continent
New Zealand,1553,3,1506,7,25,1,310,88460,5002100,Australia/Oceania
Rwanda,1539,3,819,7,715,1,119,15968,12964828,Africa
Zimbabwe,1478,3,439,7,1014,1,99,6749,14872566,Africa
Mozambique,1435,3,408,7,1017,1,46,1444,31288328,Africa
Tunisia,1348,3,1095,7,203,1,114,7024,11824385,Africa
Jordan,1214,3,1022,7,181,3,119,49689,10207884,Asia
Namibia,1203,3,32,7,1169,1,473,6701,2542872,Africa
Latvia,1192,3,1022,7,139,1,632,95982,1885012,Europe
Niger,1104,3,1014,7,21,1,46,373,24235667,Africa
Liberia,1088,3,519,7,499,1,215,,5062430,Africa
Uganda,1062,3,1023,7,39,1,23,5213,45792500,Africa
Burkina Faso,1047,3,887,7,107,1,50,,20924986,Africa
Uruguay,1044,3,921,7,90,3,300,25143,3474333,South America
Cyprus,1037,3,845,7,173,3,859,148765,1207783,Asia
Georgia,1028,10,899,4,114,5,258,41187,3988764,Asia
Suriname,1001,10,610,4,371,5,1706,2120,586881,South America
Chad,889,10,800,4,14,5,54,,16443398,Africa
Andorra,880,10,803,4,25,5,11388,48530,77271,Europe
Togo,774,10,548,4,211,2,93,4553,8286483,Africa
Jamaica,774,6,679,1,85,2,261,10205,2961808,North America
Sao Tome and Principe,743,6,337,1,392,2,3388,9565,219332,Africa
Diamond Princess,712,6,651,1,48,4,3388,,219332,
San Marino,699,6,656,1,1,4,20598,168823,33935,Europe
Angola,687,6,210,1,448,6,21,304,32902978,Africa
Malta,676,6,662,1,5,6,1531,254535,441602,Europe
Réunion,624,6,472,1,149,4,697,39547,895620,Africa
Channel Islands,583,6,529,1,7,4,3352,176619,173939,Europe
Botswana,522,6,48,1,473,1,222,21830,2353606,Africa
Tanzania,509,6,183,1,305,7,9,,59797705,Africa
Syria,496,6,144,1,327,7,28,,17517467,Asia
Taiwan,455,1,440,1,8,7,19,3338,23818968,Asia
Vietnam,382,1,357,1,25,1,4,2824,97380051,Asia
Lesotho,359,1,69,1,284,1,168,3468,2143062,Africa
Mauritius,343,1,331,1,2,1,270,152186,1271875,Africa
Myanmar,340,1,273,1,61,1,6,1824,54427485,Asia
Isle of Man,336,1,312,1,0,1,3950,87861,85055,Europe
Comoros,328,1,311,1,10,1,377,,870362,Africa
Guyana,327,1,163,1,145,5,416,4580,786740,South America
Burundi,310,1,207,1,102,5,26,563,11903751,Africa
Mongolia,287,1,213,2,74,12,87,9024,3280601,Asia
Martinique,262,1,98,2,149,5,698,,375250,North America
Eritrea,251,1,155,2,96,5,71,,3548626,Africa
Cayman Islands,203,1,200,2,2,5,3087,419682,65757,North America
Guadeloupe,195,1,172,2,9,4,487,33917,400128,North America
Faeroe Islands,188,1,188,2,0,4,3847,553732,48872,Europe
Gibraltar,180,1,180,2,0,4,5343,525972,33690,Europe
Cambodia,171,1,136,3,35,1,10,3105,16729361,Asia
Bermuda,153,1,137,3,7,1,2457,261443,62266,North America
Brunei,141,1,138,3,0,1,322,81039,437676,Asia
Bahamas,138,1,91,3,36,1,351,6644,393421,North America
Trinidad and Tobago,137,1,124,3,5,1,98,4334,1399715,North America
Aruba,111,1,100,3,8,1,1039,43516,106789,North America
Monaco,109,1,98,3,7,1,2777,973354,39255,Europe
Seychelles,108,1,27,3,81,1,1098,,98377,Africa
Barbados,104,1,91,3,6,1,362,32701,287393,North America
Gambia,93,1,49,3,40,1,38,1522,2419215,Africa
Bhutan,87,1,80,2,7,1,113,52202,772002,Asia
Liechtenstein,86,1,81,2,4,1,2255,23601,38134,Europe
Sint Maarten,79,1,63,2,1,1,1842,12192,42898,North America
Antigua and Barbuda,76,1,57,2,16,1,776,9493,97968,North America
Turks and Caicos,75,1,22,10,51,1,1936,25554,38741,North America
French Polynesia,62,1,60,10,2,1,221,16545,280987,Australia/Oceania
Saint Martin,46,1,39,10,4,1,1189,27290,38695,North America
Macao,46,1,46,10,0,1,71,6266,649734,Asia
Belize,40,1,22,10,16,1,101,7001,397936,North America
St. Vincent Grenadines,38,1,29,10,9,1,342,11734,110958,North America
Curaçao,28,1,24,10,3,1,171,6580,164126,North America
Fiji,26,1,18,10,8,1,29,4461,896758,Australia/Oceania
Timor-Leste,24,1,24,10,0,1,18,1188,1319506,Asia
Grenada,23,1,23,10,0,1,204,48557,112549,North America
Saint Lucia,23,1,19,10,4,1,125,11651,183669,North America
New Caledonia,22,1,21,10,1,1,77,34454,285627,Australia/Oceania
Laos,19,1,19,10,0,1,3,3157,7280268,Asia
Dominica,18,1,18,10,0,1,250,11820,71995,North America
Saint Kitts and Nevis,17,1,15,10,2,1,319,13623,53217,North America
Papua New Guinea,16,1,8,10,8,1,2,798,8954197,Australia/Oceania
Falkland Islands,13,1,13,10,0,1,3731,476464,3484,South America
Greenland,13,1,13,10,0,1,229,91449,56775,North America
Montserrat,12,1,10,10,1,1,2404,12220,4992,North America
Vatican City,12,1,12,10,0,1,14981,,801,Europe
Western Sahara,10,1,8,10,1,1,17,,597917,Africa
Caribbean Netherlands,10,1,7,10,3,1,381,16162,26235,North America
MS Zaandam,9,1,7,10,7,1,381,,26235,
British Virgin Islands,8,1,7,10,0,1,265,14517,30241,North America
St. Barth,6,1,6,10,0,1,607,90799,9879,North America
Saint Pierre Miquelon,4,1,1,10,3,1,691,,5792,North America
Anguilla,3,1,3,10,0,1,200,25318,15009,North America
China,83660,16,78775,17,251,3,58,62814,1439323776,Asia
